2026.01.09 12:44:56 INFO  Started: Metals version 1.6.4 in folders '/Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform' for client Visual Studio Code 1.107.1.
2026.01.09 12:44:56 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.01.09 12:46:04 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/test/java/org/sunbird/test/BaseTest.java. Using fallback presentation compiler.
2026.01.09 12:46:04 INFO  Created report: Optional[file:///Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/test/java/org/sunbird/test/BaseTest.java]
2026.01.09 12:46:04 INFO  empty definition using pc, found symbol in pc: _empty_/AuthTokens#none# (full report at: "/Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/.metals/.reports/metals-full/2026-01-09/r_empty-definition_12-46-04-657.md")
2026.01.09 12:46:08 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/util/BaseQueryGenerationUtil.java. Using fallback presentation compiler.
2026.01.09 12:46:08 INFO  Created report: Optional[file:///Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/util/BaseQueryGenerationUtil.java]
2026.01.09 12:46:08 INFO  empty definition using pc, found symbol in pc: GraphDACParams/MATCH# (full report at: "/Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/.metals/.reports/metals-full/2026-01-09/r_empty-definition_12-46-08-744.md")
2026.01.09 12:46:08 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-common/src/main/java/org/sunbird/graph/common/enums/GraphDACParams.java. Using fallback presentation compiler.
2026.01.09 12:46:11 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/util/GraphQueryGenerationUtil.java. Using fallback presentation compiler.
2026.01.09 12:46:12 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/util/BaseQueryGenerationUtil.java. Using fallback presentation compiler.
2026.01.09 12:46:12 INFO  empty definition using pc, found symbol in pc: GraphDACParams/MATCH# (full report at: "/Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/.metals/.reports/metals-full/2026-01-09/r_empty-definition_12-46-08-744.md")
2026.01.09 12:46:12 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-common/src/main/java/org/sunbird/graph/common/enums/GraphDACParams.java. Using fallback presentation compiler.
2026.01.09 12:46:21 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/operation/NodeAsyncOperations.java. Using fallback presentation compiler.
2026.01.09 12:46:21 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/util/BaseQueryGenerationUtil.java. Using fallback presentation compiler.
2026.01.09 12:46:22 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/dac/model/Relation.java. Using fallback presentation compiler.
2026.01.09 12:46:22 INFO  Created report: Optional[file:///Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/dac/model/Relation.java]
2026.01.09 12:46:22 INFO  empty definition using pc, found symbol in pc: SystemProperties/IL_UNIQUE_ID# (full report at: "/Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/.metals/.reports/metals-full/2026-01-09/r_empty-definition_12-46-22-719.md")
2026.01.09 12:46:22 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/dac/model/Relation.java. Using fallback presentation compiler.
2026.01.09 12:46:22 INFO  Created report: Optional[file:///Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/dac/model/Relation.java]
2026.01.09 12:46:22 INFO  empty definition using pc, found symbol in pc: SystemProperties/IL_SYS_NODE_TYPE# (full report at: "/Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/.metals/.reports/metals-full/2026-01-09/r_empty-definition_12-46-23-089.md")
2026.01.09 12:46:23 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/dac/model/Relation.java. Using fallback presentation compiler.
2026.01.09 12:46:23 INFO  Created report: Optional[file:///Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/dac/model/Relation.java]
2026.01.09 12:46:23 INFO  empty definition using pc, found symbol in pc: SystemProperties/IL_FUNC_OBJECT_TYPE# (full report at: "/Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/.metals/.reports/metals-full/2026-01-09/r_empty-definition_12-46-23-542.md")
2026.01.09 12:46:25 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/util/GraphQueryGenerationUtil.java. Using fallback presentation compiler.
2026.01.09 12:46:25 INFO  Created report: Optional[file:///Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/util/GraphQueryGenerationUtil.java]
2026.01.09 12:46:25 INFO  empty definition using pc, found symbol in pc: SystemProperties/IL_SEQUENCE_INDEX# (full report at: "/Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/.metals/.reports/metals-full/2026-01-09/r_empty-definition_12-46-26-053.md")
2026.01.09 12:46:26 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/util/GraphQueryGenerationUtil.java. Using fallback presentation compiler.
2026.01.09 12:46:26 INFO  empty definition using pc, found symbol in pc: SystemProperties/IL_SEQUENCE_INDEX# (full report at: "/Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/.metals/.reports/metals-full/2026-01-09/r_empty-definition_12-46-26-053.md")
2026.01.09 12:46:29 INFO  no build target found for /Users/sanketikam4/knowledge-platform-janusgraph/knowledge-platform/ontology-engine/graph-dac-api/src/main/java/org/sunbird/graph/service/util/BaseQueryGenerationUtil.java. Using fallback presentation compiler.
